ref_name,dist_name,dmos,std,dist_type
I01.png,I01_01_01.png,4.57,0.496,0
I01.png,I01_01_02.png,4.33,0.869,0
I01.png,I01_01_03.png,2.67,0.789,0
I01.png,I01_01_04.png,1.67,0.596,0
I01.png,I01_01_05.png,1.1,0.3,0
I01.png,I01_02_01.png,3.83,0.86,0
I01.png,I01_02_02.png,2.27,0.772,0
I01.png,I01_02_03.png,1.53,0.67,0
I01.png,I01_02_04.png,1.23,0.418,0
I01.png,I01_02_05.png,1.2,0.4,0
I01.png,I01_03_01.png,4.73,0.442,0
I01.png,I01_03_02.png,3.97,0.657,0
I01.png,I01_03_03.png,2.7,0.936,0
I01.png,I01_03_04.png,2.03,0.795,0
I01.png,I01_03_05.png,1.5,0.5,0
I01.png,I01_04_01.png,4.73,0.512,1
I01.png,I01_04_02.png,2.17,1.035,1
I01.png,I01_04_03.png,1.37,0.547,1
I01.png,I01_04_04.png,1.5,0.619,1
I01.png,I01_04_05.png,1.47,0.806,1
I01.png,I01_05_01.png,4,0.856,1
I01.png,I01_05_02.png,2.2,0.909,1
I01.png,I01_05_03.png,1.57,0.559,1
I01.png,I01_05_04.png,1.33,0.537,1
I01.png,I01_05_05.png,1.6,0.611,1
I01.png,I01_06_01.png,4.23,0.761,1
I01.png,I01_06_02.png,4.4,0.554,1
I01.png,I01_06_03.png,3.9,0.943,1
I01.png,I01_06_04.png,2.9,0.831,1
I01.png,I01_06_05.png,2.27,0.929,1
I01.png,I01_07_01.png,2.73,1.123,1
I01.png,I01_07_02.png,2.5,1.025,1
I01.png,I01_07_03.png,2.27,1.062,1
I01.png,I01_07_04.png,2.47,1.147,1
I01.png,I01_07_05.png,2.2,0.945,1
I01.png,I01_08_01.png,4.7,0.458,1
I01.png,I01_08_02.png,3.77,0.616,1
I01.png,I01_08_03.png,2.73,1.062,1
I01.png,I01_08_04.png,1.97,0.912,1
I01.png,I01_08_05.png,1.67,0.699,1
I01.png,I01_09_01.png,4.6,0.49,2
I01.png,I01_09_02.png,4.67,0.537,2
I01.png,I01_09_03.png,4.4,0.611,2
I01.png,I01_09_04.png,2.9,1.044,2
I01.png,I01_09_05.png,1.37,0.547,2
I01.png,I01_10_01.png,4.37,0.657,2
I01.png,I01_10_02.png,3.93,0.854,2
I01.png,I01_10_03.png,3.77,0.803,2
I01.png,I01_10_04.png,1.58,0.555,2
I01.png,I01_10_05.png,1.17,0.373,2
I01.png,I01_11_01.png,4.03,0.948,3
I01.png,I01_11_02.png,3.27,0.814,3
I01.png,I01_11_03.png,2.67,0.745,3
I01.png,I01_11_04.png,2.27,0.772,3
I01.png,I01_11_05.png,2.37,0.752,3
I01.png,I01_12_01.png,4.43,0.559,3
I01.png,I01_12_02.png,3.7,0.69,3
I01.png,I01_12_03.png,2.77,0.883,3
I01.png,I01_12_04.png,2.37,0.836,3
I01.png,I01_12_05.png,1.97,0.547,3
I01.png,I01_13_01.png,3.67,0.789,3
I01.png,I01_13_02.png,2.87,1.087,3
I01.png,I01_13_03.png,2.6,0.663,3
I01.png,I01_13_04.png,2.07,0.727,3
I01.png,I01_13_05.png,2.03,0.657,3
I01.png,I01_14_01.png,4.57,0.616,3
I01.png,I01_14_02.png,3.57,1.023,3
I01.png,I01_14_03.png,3.13,0.846,3
I01.png,I01_14_04.png,2.5,0.764,3
I01.png,I01_14_05.png,2.27,0.68,3
I01.png,I01_15_01.png,3.57,0.989,3
I01.png,I01_15_02.png,2.63,0.912,3
I01.png,I01_15_03.png,1.77,0.607,3
I01.png,I01_15_04.png,1.4,0.49,3
I01.png,I01_15_05.png,1.33,0.471,3
I01.png,I01_16_01.png,4.37,0.547,4
I01.png,I01_16_02.png,4.47,0.562,4
I01.png,I01_16_03.png,3.94,0.504,4
I01.png,I01_16_04.png,3.17,0.898,4
I01.png,I01_16_05.png,2.18,0.796,4
I01.png,I01_17_01.png,4.5,0.5,4
I01.png,I01_17_02.png,4.57,0.496,4
I01.png,I01_17_03.png,4.33,0.596,4
I01.png,I01_17_04.png,3.4,0.879,4
I01.png,I01_17_05.png,2.13,0.846,4
I01.png,I01_18_01.png,4.5,0.5,4
I01.png,I01_18_02.png,4.57,0.496,4
I01.png,I01_18_03.png,4.57,0.496,4
I01.png,I01_18_04.png,4.37,0.795,4
I01.png,I01_18_05.png,3.97,0.657,4
I01.png,I01_19_01.png,4.53,0.499,5
I01.png,I01_19_02.png,3.93,0.727,5
I01.png,I01_19_03.png,2.77,0.803,5
I01.png,I01_19_04.png,1.53,0.562,5
I01.png,I01_19_05.png,1.37,0.482,5
I01.png,I01_20_01.png,4.53,0.67,5
I01.png,I01_20_02.png,3.9,1.136,5
I01.png,I01_20_03.png,4,0.966,5
I01.png,I01_20_04.png,3.33,1.35,5
I01.png,I01_20_05.png,3.23,1.542,5
I01.png,I01_21_01.png,3.37,0.948,5
I01.png,I01_21_02.png,2.57,0.883,5
I01.png,I01_21_03.png,2.03,0.74,5
I01.png,I01_21_04.png,2.13,0.884,5
I01.png,I01_21_05.png,1.43,0.559,5
I01.png,I01_22_01.png,4.63,0.605,5
I01.png,I01_22_02.png,4,0.894,5
I01.png,I01_22_03.png,4,0.931,5
I01.png,I01_22_04.png,3.2,0.98,5
I01.png,I01_22_05.png,2.2,0.909,5
I01.png,I01_23_01.png,2.73,0.929,5
I01.png,I01_23_02.png,2.17,0.86,5
I01.png,I01_23_03.png,2.2,0.945,5
I01.png,I01_23_04.png,2.37,1.197,5
I01.png,I01_23_05.png,1.57,0.616,5
I01.png,I01_24_01.png,3.57,0.92,6
I01.png,I01_24_02.png,2.5,0.847,6
I01.png,I01_24_03.png,1.87,0.67,6
I01.png,I01_24_04.png,1.6,0.554,6
I01.png,I01_24_05.png,1.4,0.554,6
I01.png,I01_25_01.png,3.43,0.844,6
I01.png,I01_25_02.png,3.87,0.806,6
I01.png,I01_25_03.png,4.26,0.566,6
I01.png,I01_25_04.png,4.17,0.582,6
I01.png,I01_25_05.png,3.27,0.854,6
I02.png,I02_01_01.png,4.5,0.719,0
I02.png,I02_01_02.png,4.17,0.934,0
I02.png,I02_01_03.png,2.07,0.772,0
I02.png,I02_01_04.png,1.57,0.496,0
I02.png,I02_01_05.png,1.27,0.512,0
I02.png,I02_02_01.png,3.2,0.748,0
I02.png,I02_02_02.png,2.27,0.854,0
I02.png,I02_02_03.png,1.57,0.616,0
I02.png,I02_02_04.png,1.17,0.373,0
I02.png,I02_02_05.png,1,0,0
I02.png,I02_03_01.png,4.6,0.554,0
I02.png,I02_03_02.png,3.77,0.716,0
I02.png,I02_03_03.png,2.33,0.699,0
I02.png,I02_03_04.png,1.8,0.542,0
I02.png,I02_03_05.png,1.2,0.4,0
I02.png,I02_04_01.png,4.3,0.64,1
I02.png,I02_04_02.png,2.67,0.869,1
I02.png,I02_04_03.png,1.87,0.763,1
I02.png,I02_04_04.png,1.77,0.716,1
I02.png,I02_04_05.png,1.53,0.718,1
I02.png,I02_05_01.png,3.77,0.761,1
I02.png,I02_05_02.png,1.8,0.476,1
I02.png,I02_05_03.png,1.33,0.471,1
I02.png,I02_05_04.png,1.37,0.482,1
I02.png,I02_05_05.png,1.47,0.562,1
I02.png,I02_06_01.png,4.2,0.872,1
I02.png,I02_06_02.png,4.07,0.727,1
I02.png,I02_06_03.png,3.97,0.948,1
I02.png,I02_06_04.png,3.7,0.936,1
I02.png,I02_06_05.png,2.63,0.983,1
I02.png,I02_07_01.png,2.47,1.087,1
I02.png,I02_07_02.png,2.37,1.048,1
I02.png,I02_07_03.png,2.06,1.045,1
I02.png,I02_07_04.png,1.97,1.048,1
I02.png,I02_07_05.png,1.53,0.763,1
I02.png,I02_08_01.png,4.4,0.554,1
I02.png,I02_08_02.png,3.4,0.879,1
I02.png,I02_08_03.png,3.06,1.043,1
I02.png,I02_08_04.png,1.97,0.912,1
I02.png,I02_08_05.png,1.37,0.752,1
I02.png,I02_09_01.png,4.57,0.716,2
I02.png,I02_09_02.png,3.73,0.814,2
I02.png,I02_09_03.png,3.07,1.123,2
I02.png,I02_09_04.png,1.53,0.562,2
I02.png,I02_09_05.png,1.27,0.442,2
I02.png,I02_10_01.png,4.6,0.554,2
I02.png,I02_10_02.png,4.33,0.596,2
I02.png,I02_10_03.png,4.13,0.718,2
I02.png,I02_10_04.png,2.6,1.281,2
I02.png,I02_10_05.png,1.6,0.757,2
I02.png,I02_11_01.png,4.27,0.929,3
I02.png,I02_11_02.png,3.7,0.936,3
I02.png,I02_11_03.png,3.4,0.841,3
I02.png,I02_11_04.png,2.73,0.772,3
I02.png,I02_11_05.png,2.3,0.69,3
I02.png,I02_12_01.png,4.63,0.547,3
I02.png,I02_12_02.png,4.06,0.84,3
I02.png,I02_12_03.png,3.67,0.83,3
I02.png,I02_12_04.png,2.6,0.8,3
I02.png,I02_12_05.png,2.37,0.706,3
I02.png,I02_13_01.png,4.2,0.702,3
I02.png,I02_13_02.png,3.33,1.164,3
I02.png,I02_13_03.png,2.73,0.892,3
I02.png,I02_13_04.png,2.53,0.806,3
I02.png,I02_13_05.png,1.97,0.547,3
I02.png,I02_14_01.png,4.33,0.699,3
I02.png,I02_14_02.png,3.37,0.836,3
I02.png,I02_14_03.png,2.7,0.781,3
I02.png,I02_14_04.png,2.33,0.869,3
I02.png,I02_14_05.png,2,0.73,3
I02.png,I02_15_01.png,3.57,0.883,3
I02.png,I02_15_02.png,2.77,0.716,3
I02.png,I02_15_03.png,2.03,0.795,3
I02.png,I02_15_04.png,1.5,0.563,3
I02.png,I02_15_05.png,1.5,0.671,3
I02.png,I02_16_01.png,4.4,0.841,4
I02.png,I02_16_02.png,4.4,0.554,4
I02.png,I02_16_03.png,3.77,0.716,4
I02.png,I02_16_04.png,2.9,0.907,4
I02.png,I02_16_05.png,1.83,0.734,4
I02.png,I02_17_01.png,4.5,0.5,4
I02.png,I02_17_02.png,4.63,0.547,4
I02.png,I02_17_03.png,4.33,0.596,4
I02.png,I02_17_04.png,3.63,0.795,4
I02.png,I02_17_05.png,1.9,0.79,4
I02.png,I02_18_01.png,4.13,0.67,4
I02.png,I02_18_02.png,4.63,0.547,4
I02.png,I02_18_03.png,4.73,0.442,4
I02.png,I02_18_04.png,4.33,0.537,4
I02.png,I02_18_05.png,4.03,0.605,4
I02.png,I02_19_01.png,4.17,0.778,5
I02.png,I02_19_02.png,4,0.73,5
I02.png,I02_19_03.png,3.23,0.955,5
I02.png,I02_19_04.png,1.57,0.496,5
I02.png,I02_19_05.png,1.3,0.458,5
I02.png,I02_20_01.png,4.5,0.671,5
I02.png,I02_20_02.png,4.47,0.618,5
I02.png,I02_20_03.png,4.4,0.712,5
I02.png,I02_20_04.png,3.83,0.898,5
I02.png,I02_20_05.png,4.4,0.841,5
I02.png,I02_21_01.png,4.2,1.046,5
I02.png,I02_21_02.png,3.23,0.955,5
I02.png,I02_21_03.png,3.13,1.118,5
I02.png,I02_21_04.png,2.67,1.011,5
I02.png,I02_21_05.png,1.37,0.547,5
I02.png,I02_22_01.png,4.73,0.442,5
I02.png,I02_22_02.png,4.26,0.879,5
I02.png,I02_22_03.png,4.4,0.841,5
I02.png,I02_22_04.png,3.93,0.929,5
I02.png,I02_22_05.png,3.2,1.013,5
I02.png,I02_23_01.png,2.1,0.907,5
I02.png,I02_23_02.png,2.7,1.038,5
I02.png,I02_23_03.png,2.27,0.998,5
I02.png,I02_23_04.png,2.2,0.748,5
I02.png,I02_23_05.png,2.07,0.772,5
I02.png,I02_24_01.png,3.07,0.964,6
I02.png,I02_24_02.png,1.93,0.68,6
I02.png,I02_24_03.png,1.47,0.618,6
I02.png,I02_24_04.png,1.23,0.423,6
I02.png,I02_24_05.png,1.2,0.476,6
I02.png,I02_25_01.png,3.37,0.795,6
I02.png,I02_25_02.png,3.7,0.936,6
I02.png,I02_25_03.png,4.27,0.512,6
I02.png,I02_25_04.png,4.1,0.746,6
I02.png,I02_25_05.png,3.33,0.699,6
I03.png,I03_01_01.png,4.7,0.458,0
I03.png,I03_01_02.png,4.63,0.482,0
I03.png,I03_01_03.png,3,0.856,0
I03.png,I03_01_04.png,1.83,0.637,0
I03.png,I03_01_05.png,1.17,0.373,0
I03.png,I03_02_01.png,4.03,0.836,0
I03.png,I03_02_02.png,2.7,0.9,0
I03.png,I03_02_03.png,1.7,0.64,0
I03.png,I03_02_04.png,1.47,0.562,0
I03.png,I03_02_05.png,1.23,0.496,0
I03.png,I03_03_01.png,4.6,0.49,0
I03.png,I03_03_02.png,4.37,0.706,0
I03.png,I03_03_03.png,2.93,0.814,0
I03.png,I03_03_04.png,2.23,0.716,0
I03.png,I03_03_05.png,1.63,0.605,0
I03.png,I03_04_01.png,4.6,0.49,1
I03.png,I03_04_02.png,2.9,0.978,1
I03.png,I03_04_03.png,1.53,0.718,1
I03.png,I03_04_04.png,1.2,0.6,1
I03.png,I03_04_05.png,1.1,0.3,1
I03.png,I03_05_01.png,4.78,0.413,1
I03.png,I03_05_02.png,2.65,0.785,1
I03.png,I03_05_03.png,2,0.683,1
I03.png,I03_05_04.png,1.87,0.718,1
I03.png,I03_05_05.png,2.23,0.989,1
I03.png,I03_06_01.png,4,0.856,1
I03.png,I03_06_02.png,3.8,1.013,1
I03.png,I03_06_03.png,3.33,1.011,1
I03.png,I03_06_04.png,2.83,0.934,1
I03.png,I03_06_05.png,1.77,0.667,1
I03.png,I03_07_01.png,2.37,1.08,1
I03.png,I03_07_02.png,1.67,0.83,1
I03.png,I03_07_03.png,1.43,0.559,1
I03.png,I03_07_04.png,1.53,0.67,1
I03.png,I03_07_05.png,1.47,0.618,1
I03.png,I03_08_01.png,4.53,0.562,1
I03.png,I03_08_02.png,3.13,1.024,1
I03.png,I03_08_03.png,2.47,0.957,1
I03.png,I03_08_04.png,1.37,0.547,1
I03.png,I03_08_05.png,1.23,0.496,1
I03.png,I03_09_01.png,4.4,0.757,2
I03.png,I03_09_02.png,3.6,0.987,2
I03.png,I03_09_03.png,3.1,0.978,2
I03.png,I03_09_04.png,1.77,0.616,2
I03.png,I03_09_05.png,1.1,0.3,2
I03.png,I03_10_01.png,4.47,0.67,2
I03.png,I03_10_02.png,4.17,0.898,2
I03.png,I03_10_03.png,3.7,1.005,2
I03.png,I03_10_04.png,2.23,0.667,2
I03.png,I03_10_05.png,1.53,0.718,2
I03.png,I03_11_01.png,3.97,0.836,3
I03.png,I03_11_02.png,3.6,0.757,3
I03.png,I03_11_03.png,3.27,0.854,3
I03.png,I03_11_04.png,2.93,0.929,3
I03.png,I03_11_05.png,2.5,0.847,3
I03.png,I03_12_01.png,4.57,0.496,3
I03.png,I03_12_02.png,3.87,0.763,3
I03.png,I03_12_03.png,3.17,0.734,3
I03.png,I03_12_04.png,2.9,0.907,3
