ref_name,dist_name,mos,std
I01.BMP,I01_01_1.bmp,5.51429,0
I01.BMP,i01_01_2.bmp,5.56757,0
I01.BMP,i01_01_3.bmp,4.94444,0
I01.BMP,i01_01_4.bmp,4.37838,0
I01.BMP,i01_01_5.bmp,3.86486,0
I01.BMP,i01_02_1.bmp,6.02857,1
I01.BMP,i01_02_2.bmp,6.10811,1
I01.BMP,i01_02_3.bmp,5.38889,1
I01.BMP,i01_02_4.bmp,4.71429,1
I01.BMP,i01_02_5.bmp,4.36111,1
I01.BMP,i01_03_1.bmp,4.77143,2
I01.BMP,i01_03_2.bmp,4.27027,2
I01.BMP,i01_03_3.bmp,3.70270,2
I01.BMP,i01_03_4.bmp,3.19444,2
I01.BMP,i01_03_5.bmp,2.71429,2
I01.BMP,i01_04_1.bmp,5.97143,3
I01.BMP,i01_04_2.bmp,5.75676,3
I01.BMP,i01_04_3.bmp,5.27027,3
I01.BMP,i01_04_4.bmp,5.24324,3
I01.BMP,i01_04_5.bmp,4.71429,3
I01.BMP,i01_05_1.bmp,5.91892,4
I01.BMP,i01_05_2.bmp,5.70270,4
I01.BMP,i01_05_3.bmp,5.08333,4
I01.BMP,i01_05_4.bmp,4.13889,4
I01.BMP,i01_05_5.bmp,3.13889,4
I01.BMP,i01_06_1.bmp,4.00000,5
I01.BMP,i01_06_2.bmp,3.89189,5
I01.BMP,i01_06_3.bmp,3.72973,5
I01.BMP,i01_06_4.bmp,3.48571,5
I01.BMP,i01_06_5.bmp,2.94444,5
I01.BMP,i01_07_1.bmp,5.08333,6
I01.BMP,i01_07_2.bmp,4.75000,6
I01.BMP,i01_07_3.bmp,4.00000,6
I01.BMP,i01_07_4.bmp,3.22222,6
I01.BMP,i01_07_5.bmp,2.19444,6
I01.BMP,i01_08_1.bmp,5.18919,7
I01.BMP,i01_08_2.bmp,4.47222,7
I01.BMP,i01_08_3.bmp,3.48649,7
I01.BMP,i01_08_4.bmp,3.00000,7
I01.BMP,i01_08_5.bmp,2.11111,7
I01.BMP,i01_09_1.bmp,6.08333,8
I01.BMP,i01_09_2.bmp,5.16667,8
I01.BMP,i01_09_3.bmp,4.42857,8
I01.BMP,i01_09_4.bmp,2.81081,8
I01.BMP,i01_09_5.bmp,1.54054,8
I01.BMP,i01_10_1.bmp,5.97297,9
I01.BMP,i01_10_2.bmp,5.94595,9
I01.BMP,i01_10_3.bmp,4.91667,9
I01.BMP,i01_10_4.bmp,3.21622,9
I01.BMP,i01_10_5.bmp,2.08108,9
I01.BMP,I01_11_1.BMP,5.91429,10
I01.BMP,i01_11_2.bmp,5.67568,10
I01.BMP,i01_11_3.bmp,4.69444,10
I01.BMP,i01_11_4.bmp,3.67568,10
I01.BMP,i01_11_5.bmp,1.45946,10
I01.BMP,i01_12_1.bmp,5.94595,11
I01.BMP,i01_12_2.bmp,5.86486,11
I01.BMP,i01_12_3.bmp,4.21622,11
I01.BMP,i01_12_4.bmp,3.83333,11
I01.BMP,i01_12_5.bmp,3.43243,11
I01.BMP,I01_13_1.BMP,5.45946,12
I01.BMP,i01_13_2.bmp,3.91429,12
I01.BMP,i01_13_3.bmp,3.27778,12
I01.BMP,i01_13_4.bmp,3.16667,12
I01.BMP,i01_13_5.bmp,3.10811,12
I01.BMP,i01_14_1.bmp,5.69444,13
I01.BMP,i01_14_2.bmp,6.05405,13
I01.BMP,i01_14_3.bmp,5.75676,13
I01.BMP,i01_14_4.bmp,5.55556,13
I01.BMP,i01_14_5.bmp,4.47059,13
I01.BMP,i01_15_1.bmp,2.83333,14
I01.BMP,i01_15_2.bmp,2.82857,14
I01.BMP,i01_15_3.bmp,3.10811,14
I01.BMP,i01_15_4.bmp,3.58333,14
I01.BMP,i01_15_5.bmp,3.89189,14
I01.BMP,i01_16_1.bmp,5.80556,15
I01.BMP,i01_16_2.bmp,6.05405,15
I01.BMP,i01_16_3.bmp,4.88889,15
I01.BMP,i01_16_4.bmp,5.02778,15
I01.BMP,i01_16_5.bmp,4.19444,15
I01.BMP,i01_17_1.bmp,5.35135,16
I01.BMP,i01_17_2.bmp,6.62162,16
I01.BMP,i01_17_3.bmp,4.08108,16
I01.BMP,i01_17_4.bmp,6.24324,16
I01.BMP,i01_17_5.bmp,2.97143,16
I01.BMP,i01_18_1.bmp,4.62162,17
I01.BMP,i01_18_2.bmp,4.22222,17
I01.BMP,i01_18_3.bmp,3.77143,17
I01.BMP,i01_18_4.bmp,3.47222,17
I01.BMP,i01_18_5.bmp,3.41667,17
I01.BMP,i01_19_1.bmp,5.94444,18
I01.BMP,i01_19_2.bmp,5.47222,18
I01.BMP,i01_19_3.bmp,5.08108,18
I01.BMP,i01_19_4.bmp,4.52778,18
I01.BMP,i01_19_5.bmp,3.94444,18
I01.BMP,i01_20_1.bmp,5.85714,19
I01.BMP,i01_20_2.bmp,5.83333,19
I01.BMP,i01_20_3.bmp,6.02778,19
I01.BMP,i01_20_4.bmp,5.08333,19
I01.BMP,i01_20_5.bmp,4.33333,19
I01.BMP,i01_21_1.bmp,5.70270,20
I01.BMP,i01_21_2.bmp,5.27778,20
I01.BMP,i01_21_3.bmp,4.67568,20
I01.BMP,i01_21_4.bmp,4.05714,20
I01.BMP,i01_21_5.bmp,3.05405,20
I01.BMP,i01_22_1.bmp,5.55556,21
I01.BMP,i01_22_2.bmp,5.18919,21
I01.BMP,i01_22_3.bmp,4.30556,21
I01.BMP,i01_22_4.bmp,3.16216,21
I01.BMP,i01_22_5.bmp,2.19444,21
I01.BMP,i01_23_1.bmp,6.28571,22
I01.BMP,i01_23_2.bmp,5.61111,22
I01.BMP,i01_23_3.bmp,5.77778,22
I01.BMP,i01_23_4.bmp,4.80556,22
I01.BMP,i01_23_5.bmp,2.40541,22
I01.BMP,i01_24_1.bmp,5.70270,23
I01.BMP,i01_24_2.bmp,5.58333,23
I01.BMP,i01_24_3.bmp,5.10811,23
I01.BMP,i01_24_4.bmp,3.08108,23
I01.BMP,i01_24_5.bmp,0.45946,23
I02.BMP,I02_01_1.bmp,5.74286,0
I02.BMP,i02_01_2.bmp,5.34286,0
I02.BMP,i02_01_3.bmp,5.22222,0
I02.BMP,i02_01_4.bmp,4.19444,0
I02.BMP,i02_01_5.bmp,3.97297,0
I02.BMP,i02_02_1.bmp,6.05556,1
I02.BMP,i02_02_2.bmp,6.05405,1
I02.BMP,i02_02_3.bmp,5.88889,1
I02.BMP,i02_02_4.bmp,5.29730,1
I02.BMP,i02_02_5.bmp,4.38889,1
I02.BMP,i02_03_1.bmp,4.80000,2
I02.BMP,i02_03_2.bmp,4.43243,2
I02.BMP,i02_03_3.bmp,3.83784,2
